Species	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] brachy group;?	0	0	22	12	8	7	16	1	5	6	3	0	1	1	2	3	0	11	5	0	1	2	0	4	3	4	1	4	8	0	0	2	3	5	1	3	2	0	2	0	2	0	0	9	0	0	0	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] nodatum group;uncultured organism	0	0	39	3	4	2	0	4	1	0	3	0	9	6	0	3	5	0	1	0	0	16	0	1	2	15	3	1	0	2	0	0	0	39	17	33	19	8	24	32	14	0	0	27	1	1	0	28	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?;?	290	367	1738	981	643	2299	886	488	1368	611	648	590	560	357	329	620	538	1005	706	300	302	398	296	459	305	168	200	361	981	382	94	535	402	724	332	707	724	1048	1106	758	1286	9	1	1448	122	97	774	1663	19	678	164
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2;?	0	0	36	31	16	28	9	1	6	12	23	0	51	4	8	0	11	17	18	1	4	39	1	8	7	2	11	6	30	28	0	3	3	32	5	47	96	117	130	94	134	0	0	90	0	1	0	3	0	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2;Lachnospiraceae bacterium A2	2	7	31	7	11	53	75	14	25	18	14	5	52	9	13	4	24	13	18	1	14	17	5	11	3	2	5	18	13	10	3	43	5	20	19	1555	987	408	3882	3451	1423	1	2	28	10	3	5	59	8	3	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;ASF356;Clostridium sp. ASF356	59	290	336	147	9	11	17	1	9	5	2	155	8	1	19	7	7	2	0	2	6	4	41	10	3	5	9	3	0	0	2	10	1	27	4	237	172	269	476	212	236	3	0	32	1	44	338	101	4	6	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;Clostridiales bacterium CIEAF 015	92	2	19	21	47	136	230	29	114	50	36	25	18	50	167	29	64	64	47	6	22	34	10	45	33	73	2	31	44	22	1	26	54	17	66	26	21	156	329	36	124	0	0	24	6	0	5	5	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetitomaculum;Firmicutes bacterium CAG_194_44_15	21	3	4	2	1	27	7	5	23	8	7	1	6	4	4	4	3	21	6	4	3	6	3	3	9	5	1	6	13	6	1	11	1	6	5	1	3	3	5	3	10	0	0	16	101	3	0	1	2	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;?	30	8	116	83	70	153	99	104	247	129	136	17	73	69	60	129	144	86	53	267	52	40	13	85	50	17	7	55	59	40	34	93	28	81	48	39	71	114	460	467	1406	0	0	176	4	10	7	60	3	2	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;uncultured organism	5	14	25	4	2	3	1	2	6	2	2	9	4	0	3	0	1	11	3	23	0	0	6	0	0	2	1	1	5	1	0	5	2	6	2	15	12	13	14	16	12	0	0	17	0	3	6	6	726	3	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;GCA-900066575;?	2	0	1	8	51	480	204	40	131	81	47	119	363	65	12	41	111	90	138	1	49	130	25	88	4	12	1	165	135	82	18	225	68	54	65	78	107	111	41	13	227	0	0	107	4	1	1	1	2	0	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;?	33	0	0	1	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	0	0	2	1	1	0	0	0	1	1	0	4	0	0	1	0	72	43	0	33	67	7	0	6	42	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;?	73	228	1543	1729	1483	1547	1980	684	2795	1646	2314	752	1918	879	820	485	1503	1610	986	1302	760	667	560	1337	464	414	165	366	1415	501	312	1765	1679	180	581	1612	1279	3487	1933	374	1372	17	4	343	40	580	343	1241	30	30	29
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;Lachnospiraceae bacterium 10-1	1	3	1	3	84	1	8	8	26	117	8	2	3	23	5	4	0	69	19	1	14	8	0	3	24	2	1	2	5	5	0	2	29	1	17	2	6	10	4	0	9	0	0	1	2	10	2	1	9	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;Lachnospiraceae bacterium 607	2083	4718	3216	5582	3156	5408	4353	3562	5875	5739	4076	1674	3740	2848	1501	3748	3361	5163	4034	3466	1645	2955	871	2464	1122	932	2404	2424	4076	2197	499	3861	2600	2420	2138	3367	3680	5452	2913	2047	3677	1724	759	4187	1384	3467	6064	2708	3486	4657	295
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;Lachnospiraceae bacterium A4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	86	399	118	0	38	0	0	0	0	0	0	1	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;uncultured Clostridiales bacterium	0	0	0	0	1	7	5	0	0	5	5	0	18	49	478	61	0	2	11	1	4	4	0	11	3	18	1	9	0	1	2	3	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;uncultured Lachnospiraceae bacterium	7	17	73	40	444	1730	29	576	1842	872	795	12	148	669	487	707	610	3728	577	68	463	260	6	355	314	77	16	211	1150	885	229	750	364	37	226	13	18	117	84	18	109	7	4	63	13	11	21	120	3	8	14
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;uncultured organism	1	1	332	179	29	15	0	2	21	7	0	0	7	3	10	1	6	1	5	0	5	3	2	8	0	3	0	3	11	3	1	2	5	132	1	1	2	372	182	24	279	1	0	231	1	1	0	410	0	0	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-001;?	10	4	906	305	104	14	4	13	20	18	15	9	48	11	551	48	23	28	138	522	4	23	5	15	6	10	3	111	82	6	2	9	10	351	20	1763	3387	7604	89	35	45	2	2	773	9	10	7	5	5	11	5
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-001;uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	19	14	18	8	8	0	0	0	0	1	0	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-008;?	1	1	75	29	24	79	33	11	50	62	17	112	56	36	150	45	27	76	142	48	13	62	2	37	17	12	0	33	31	34	4	23	28	80	21	196	135	282	133	60	213	0	0	130	6	5	2	70	2	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-010;?	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	1	0	0	1	0	0	1	0	1	0	0	0	3	1	5	0	3	0	4	0	0	0	0	1	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;?	32	8	91	14	10	47	14	3	7	6	1	121	27	3	23	30	1	3	138	0	6	22	67	4	5	7	27	3	11	8	4	8	5	60	4	207	141	44	323	1305	572	2	0	73	2	6	20	130	3	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;?	3	19	443	41	107	112	40	9	74	29	47	1	20	22	44	2	34	139	29	948	17	11	2	20	10	8	35	26	46	44	10	21	14	319	13	173	479	206	214	37	1022	0	0	679	4	8	31	7	68	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Lachnospiraceae bacterium DW52	0	3	334	482	27	37	16	13	27	14	30	2	5	2	40	2	10	8	2	3	23	3	0	21	23	5	0	2	75	7	0	6	5	70	0	15	16	50	9	7	9	0	0	159	1	6	4	286	13	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;uncultured Clostridiales bacterium	24	1	15	0	8	44	32	5	7	19	15	52	18	10	2	20	8	9	2	1	3	0	34	3	1	1	0	2	13	5	0	11	8	5	1	17	24	3	25	4	2	1	0	16	2	1	3	1	11	121	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella 3;?	0	0	26	2	1	0	1	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	29	20	89	15	16	0	0	0	5	0	0	0	26	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;uncultured organism	14	1	62	36	11	24	26	10	31	42	16	4	6	11	10	10	10	27	3	2	19	19	7	11	14	5	0	13	8	5	6	17	6	9	11	17	10	20	5	21	25	0	2	11	1	1	26	3	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] eligens group;?	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	3	2	2	0	0	1	1	1	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	0	1	0	1241	585
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] hallii group;uncultured organism	0	2	47	10	34	5	16	4	26	43	19	3	18	5	12	6	17	25	1	5	7	12	3	9	9	3	0	7	9	3	0	9	6	53	5	113	258	145	29	55	8	1	0	160	0	4	3	95	13	487	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] ruminantium group;?	5	3	5	5	543	332	1203	342	834	826	867	10	176	360	228	312	623	558	263	7	203	1	4	591	250	199	3	440	414	407	3	607	356	3	352	3	5	2	5	3	5	2	2	3	6	3	3	1	6	6	4
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] ventriosum group;?	10	0	34	0	10	44	1	1	0	0	1	17	77	0	0	0	0	0	1	0	0	1	25	1	0	4	0	0	1	0	0	0	0	50	0	0	0	0	2	0	1	0	0	23	0	0	0	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] xylanophilum group;?	0	3	1	2	7	15	26	1	39	27	37	0	9	9	4	3	12	12	0	1	2	2	0	4	3	1	3	0	17	2	0	16	9	1	3	1	1	2	5	0	4	0	0	0	2	9	5	2	9	8	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group;?	102	228	136	115	157	273	203	74	185	231	120	250	114	98	86	71	107	262	85	1874	71	50	189	75	44	47	7	74	72	69	15	132	74	72	63	283	199	188	280	210	269	2061	1	133	15	38	207	81	1588	2285	523
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;?;?	53	2	66	68	17	25	24	9	20	18	11	63	8	7	9	4	6	20	10	0	16	7	17	5	10	4	5	5	20	11	1	15	9	49	7	22	24	28	38	15	37	1	0	97	0	13	9	32	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;?	0	0	0	0	2	4	3	1	2	0	0	0	3	0	6	1	0	2	3	5	2	0	0	0	1	0	0	0	1	1	0	2	2	8	4	6	9	4	8	1	6	0	0	21	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridioides;?	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	1	1	460	0	129	1	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;Romboutsia timonensis	31	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	6	0	3	0	0	1	0	0	1	7	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	69	0	16	0	1	0	613	1	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?	27	31	238	195	203	336	345	200	763	511	166	77	130	281	270	387	353	352	756	60	226	376	57	179	177	272	135	597	144	101	99	805	179	253	397	307	262	728	262	352	637	3	5	456	24	49	54	103	1379	1141	1569
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;metagenome	0	0	3	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	1	3	1	1	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;uncultured organism	0	0	0	0	4	18	17	1	18	11	18	0	16	20	0	2	21	10	5	0	3	18	0	11	14	4	1	8	2	8	4	11	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;uncultured rumen bacterium	0	0	0	0	8	5	21	3	1	6	5	0	13	27	8	7	11	3	9	0	1	11	0	1	7	2	0	0	0	3	1	6	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;?	0	0	0	4	1	2	2	4	2	4	15	0	85	126	6	1	1	3	8	0	1	52	0	12	5	0	0	4	6	19	0	3	1	0	8	98	32	37	101	253	1	0	0	0	0	0	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;Anaerotruncus sp. G3(2012)	130	63	25	9	4	7	2	2	10	4	3	167	1	1	6	3	4	6	7	0	6	2	80	0	2	4	2	10	7	2	0	1	1	20	10	149	106	291	309	213	134	1	0	35	19	18	92	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus;?	2	22	39	50	0	13	3	6	25	15	1	49	6	1	0	0	12	1	3	0	4	6	3	2	2	0	3	5	3	3	0	1	1	0	3	6	7	6	39	8	20	0	0	2	3	7	88	11	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;?	110	0	0	0	2	18	26	19	15	16	11	2	5	15	13	14	6	5	4	0	7	2	1	11	5	0	0	6	2	7	0	10	10	0	5	0	0	0	1	2	0	0	0	0	49	30	4	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;GCA-900066225;?	5	0	0	4	2	1	4	0	4	4	2	1	1	1	1	4	3	6	0	0	2	1	0	3	0	0	0	3	4	1	1	1	0	1	1	5	4	4	2	1	2	0	0	0	0	3	9	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Harryflintia;?	0	0	3	37	4	24	9	5	20	1	2	0	6	1	1	0	3	16	3	0	2	6	2	4	6	2	3	5	6	8	0	14	21	3	6	4	4	63	13	6	35	0	0	8	0	0	0	4	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Negativibacillus;?	168	0	0	0	3	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	21	2	0	0	0	86	50	0	0	0	23	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;[Clostridium] leptum	15	5	404	474	111	492	453	136	575	193	448	60	166	135	44	329	169	1142	299	17	41	73	12	490	228	162	46	217	146	124	24	308	155	155	78	352	343	754	202	121	338	1	3	262	19	198	47	227	4	3	4
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;uncultured Clostridiales bacterium	9	3	50	50	45	261	192	64	269	125	84	42	67	59	46	46	80	189	147	27	33	82	15	56	43	82	134	115	281	91	32	70	51	79	60	447	418	947	267	190	636	0	2	121	9	13	6	41	6	4	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter;?	0	0	0	0	3	4	10	7	14	5	5	0	9	16	0	14	19	9	0	0	5	18	1	15	4	0	0	6	29	4	1	7	19	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pygmaiobacter;?	0	0	0	0	12	8	10	0	30	5	5	0	3	2	2	6	8	10	3	0	3	8	0	0	10	5	8	4	0	1	2	2	11	0	8	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 1;?	0	2	0	0	3	0	0	0	4	2	0	0	2	1	2	0	0	1	1	0	1	0	0	2	0	0	0	0	0	1	0	1	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 1;uncultured Clostridiaceae bacterium	0	0	0	0	2	0	0	0	3	5	5	0	0	4	0	0	2	5	2	0	0	1	0	0	0	0	1	1	1	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;?	4	135	77	30	44	283	101	29	550	176	98	44	58	51	36	47	78	245	64	109	50	127	31	65	48	53	35	81	120	60	16	89	80	5	76	170	142	399	306	200	192	0	1	5	19	48	86	14	0	4	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;uncultured Clostridiales bacterium	10	5	37	21	7	33	25	13	57	18	21	10	17	13	2	5	2	35	17	52	4	13	5	7	2	21	1	14	5	12	4	23	13	8	6	9	17	35	13	11	50	0	0	14	4	6	9	5	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6;?	0	2	0	0	42	120	1	5	144	19	127	1	22	24	136	51	90	194	81	0	28	201	1	66	13	16	0	14	23	147	0	6	13	0	42	0	0	0	1	0	0	0	0	1	2	0	1	0	2	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6;uncultured organism	0	0	0	0	1	0	19	1	0	0	0	0	0	0	0	0	1	0	1	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 9;?	19	10	103	66	63	89	255	47	149	99	129	21	155	169	48	26	115	96	40	39	56	103	20	79	25	17	5	64	234	117	54	114	70	50	90	35	62	88	69	41	62	0	0	86	7	21	26	25	1	1	5
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;?	11	4	124	121	89	457	141	118	466	63	64	67	114	161	58	81	103	175	163	85	41	95	38	75	112	29	7	65	70	111	14	132	65	138	36	177	229	677	228	161	287	1	0	287	11	13	34	54	7	3	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae NK4A214 group;?	8	7	6	2	240	410	625	277	630	561	334	5	257	345	17	277	441	776	350	5	180	580	6	406	132	227	26	342	593	287	25	315	336	30	309	10	5	8	11	15	6	0	1	31	10	3	1	0	4	2	4
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae NK4A214 group;uncultured rumen bacterium	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	445	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-002;uncultured rumen bacterium	0	0	0	0	0	8	5	1	8	2	6	0	3	7	6	8	4	2	3	1	2	2	0	1	4	0	3	2	8	2	2	6	5	0	1	2	0	2	2	1	0	0	0	0	0	0	0	0	577	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005;?	0	0	0	0	5	2	3	3	7	5	4	2	4	1	3	0	5	3	2	0	3	1	0	1	4	1	0	2	2	5	1	4	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005;uncultured Clostridiales bacterium	0	0	0	0	13	14	111	11	21	15	33	0	18	21	6	2	24	33	8	0	4	25	0	6	8	6	0	5	4	5	0	11	14	0	21	3	7	34	1	0	30	0	0	0	0	0	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-009;?	0	0	40	14	14	16	11	10	24	16	13	1	2	6	14	7	2	21	11	2	4	9	1	14	4	4	2	7	3	9	0	13	15	10	5	140	104	75	51	40	140	0	0	30	0	2	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;?	7	0	2	1	60	123	79	72	138	108	125	1	104	49	59	121	68	193	221	0	36	338	3	100	66	32	128	99	141	40	51	42	70	3	77	1	2	4	1	0	0	0	0	0	0	1	2	0	4	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-013;?	1	0	48	72	3	7	29	27	49	32	34	11	28	66	14	22	48	56	39	0	5	24	4	21	10	10	4	32	13	14	3	36	26	15	6	2	10	0	27	12	1	0	0	20	0	0	1	30	394	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;?	17	21	187	6	250	254	1007	200	1011	267	356	27	193	235	353	348	517	519	763	14	143	705	34	197	153	153	17	161	408	484	494	249	358	79	492	42	42	50	120	109	88	2	5	93	15	10	54	240	4	998	3
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;gut metagenome	34	1	0	2	15	14	31	10	74	24	25	7	2	106	60	9	245	25	325	1	9	9	34	6	113	3	0	24	11	313	22	61	103	12	15	1	0	2	0	19	0	1	0	20	4	1	1	0	0	133	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;uncultured rumen bacterium	27	5	4	6	89	132	1858	150	939	215	441	39	230	58	151	87	507	64	247	2	92	39	160	80	239	431	4	170	732	82	168	46	277	19	409	97	31	11	181	480	30	0	1	19	10	8	1	3	2	6	8
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;uncultured rumen bacterium 4C28d-18	2	0	1	0	18	26	388	27	25	5	66	0	12	7	59	21	58	7	48	2	0	44	7	6	19	9	4	13	80	22	20	19	195	10	40	5	1	2	35	54	0	0	0	15	0	0	2	4	0	5	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;?	255	6	803	634	642	925	711	538	853	673	563	683	657	385	787	223	529	1078	712	9	331	1286	170	426	470	195	2	774	318	644	5	680	619	114	507	12	4	10	7	12	5	3	2	75	9	584	13	707	634	6	6
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 1;uncultured rumen bacterium	0	0	0	0	2	0	2	0	1	0	0	0	2	0	0	0	2	1	2	0	0	0	0	0	1	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2;?	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	3	1	0	0	0	0	0	1	0	0	4	0	650	565	1020
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;?	7	0	4	2	1	1	1	3	3	1	2	3	0	3	3	4	3	1	3	2	2	3	2	3	0	1	2	2	2	1	2	1	1	1	1	1	0	3	1	2	2	2	1	2	1	4	2	3	267	4159	2437
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;UBA1819;?	0	0	0	0	0	3	2	0	5	0	2	0	0	1	1	4	1	4	1	1	0	3	0	0	3	0	0	2	1	5	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;UBA1819;uncultured organism	0	0	0	0	7	6	5	0	8	6	3	0	2	3	1	9	0	12	1	0	0	11	0	1	1	0	1	1	0	7	3	6	3	0	0	5	2	1	2	10	0	0	1	0	0	0	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;?	0	0	0	0	24	8	38	11	3	3	30	0	11	8	0	0	21	18	6	1	0	14	0	0	12	2	1	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;uncultured organism	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1333	0	9	1	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;?;?	0	0	2	0	11	6	7	8	18	11	1	0	4	5	6	7	4	5	47	6	3	5	0	18	1	21	0	13	38	11	1	29	2	1	6	21	30	4	36	20	3	0	0	1	0	0	0	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Candidatus Stoquefichus;?	89	5	0	0	0	0	0	0	0	0	0	27	0	1	0	0	0	0	0	0	0	0	19	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	3	4	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus;Coprobacillus cateniformis	212	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	333	136	1	0	0	2	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dubosiella;?	0	0	2	1	1	1	1	3	2	29	10	0	613	169	3224	2	5	0	0	1	2	0	0	0	0	0	0	0	0	1	4	5	5	2	3	0	0	1	0	0	2	1	0	1	1	2	0	2	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dubosiella;Dubosiella newyorkensis	1457	1	4	1	1	1	0	2	1	1	3	40	0	4	0	1	0	1	0	2	0	4	974	0	0	0	0	0	1	0	1	0	0	2	1	0	1	1	0	0	1	1	0	1	127	17	0	0	4	2	1
